trade_date,open,close,high,low,vol,pct_chg
20230316,5.34,5.39,5.47,5.32,185699.73,0.1859
20230317,5.43,5.39,5.46,5.38,200482.02,0.0
20230320,5.41,5.31,5.43,5.3,203878.47,-1.4842
20230321,5.3,5.32,5.33,5.25,150212.71,0.1883
20230322,5.33,5.34,5.38,5.3,174220.86,0.3759
20230323,5.31,5.3,5.33,5.26,171900.39,-0.7491
20230324,5.3,5.41,5.41,5.23,312571.28,2.0755
20230327,5.35,5.28,5.35,5.24,203527.0,-2.403
20230328,5.32,5.24,5.33,5.23,146422.68,-0.7576
20230329,5.22,5.09,5.26,5.08,253141.33,-2.8626
20230330,5.05,5.04,5.07,4.96,200058.94,-0.9823
20230331,5.04,5.08,5.09,5.03,124734.43,0.7937
20230403,5.08,5.12,5.16,5.04,191629.26,0.7874
20230404,5.11,5.01,5.13,4.99,198110.98,-2.1484
20230406,5.01,5.02,5.06,4.95,139133.01,0.1996
20230407,5.0,5.16,5.23,5.0,342549.52,2.7888
20230410,5.14,5.03,5.14,5.01,231145.0,-2.5194
20230411,5.03,5.17,5.18,4.99,257274.53,2.7833
20230412,5.18,5.16,5.2,5.09,185755.0,-0.1934
20230413,5.15,5.16,5.2,5.11,153598.44,0.0
20230414,5.18,5.11,5.22,5.1,173111.9,-0.969
20230417,5.1,5.11,5.12,5.04,138260.14,0.0
20230418,5.11,5.06,5.14,5.06,104507.49,-0.9785
20230419,5.05,4.96,5.06,4.96,181808.25,-1.9763
20230420,4.97,4.91,4.97,4.87,164182.78,-1.0081
20230421,4.96,4.79,5.02,4.78,208791.65,-2.444
20230424,4.75,4.76,4.84,4.69,131527.8,-0.6263
20230425,4.76,4.69,4.79,4.61,177948.23,-1.4706
20230426,4.64,4.7,4.75,4.62,122235.26,0.2132
20230427,4.67,4.7,4.75,4.65,103664.34,0.0
20230428,4.72,4.84,4.85,4.68,170413.59,2.9787
20230504,4.78,4.85,4.87,4.74,177147.6,0.2066
20230505,4.85,4.93,4.97,4.82,224704.45,1.6495
20230508,4.86,4.91,4.93,4.79,221979.04,-0.4057
20230509,4.89,4.88,5.01,4.88,176416.06,-0.611
20230510,4.89,5.02,5.13,4.81,327678.92,2.8689
20230511,4.92,4.89,5.01,4.84,321865.8,-2.5896
20230512,4.86,4.81,4.9,4.81,159687.23,-1.636
20230515,4.79,4.82,4.84,4.71,157637.34,0.2079
20230516,4.83,4.71,4.83,4.7,123845.11,-2.2822
20230517,4.68,4.72,4.75,4.65,73817.0,0.2123
20230518,4.7,4.72,4.77,4.7,98456.9,0.0
20230519,4.73,4.65,4.73,4.63,109916.99,-1.4831
20230522,4.65,4.7,4.74,4.58,145073.34,1.0753
20230523,4.68,4.67,4.76,4.67,92272.92,-0.6383
20230524,4.69,4.62,4.7,4.62,99688.36,-1.0707
20230525,4.65,4.69,4.71,4.62,126350.82,1.5152
20230526,4.69,4.7,4.72,4.63,84374.0,0.2132
20230529,4.7,4.61,4.72,4.6,89712.51,-1.9149
20230530,4.63,4.64,4.66,4.49,131567.37,0.6508
20230531,4.62,4.62,4.67,4.59,89548.15,-0.431
20230601,4.6,4.56,4.62,4.55,79085.0,-1.2987
20230602,4.62,4.75,4.78,4.59,206782.92,4.1667
20230605,4.71,4.7,4.73,4.65,107575.2,-1.0526
20230606,4.69,4.72,4.84,4.69,213944.38,0.4255
20230607,4.75,4.77,4.87,4.7,200719.0,1.0593
20230608,4.75,4.85,4.93,4.72,257194.9,1.6771
20230609,4.82,4.81,4.87,4.76,185704.12,-0.8247
20230612,4.8,4.79,4.84,4.71,119560.15,-0.4158
20230613,4.79,4.77,4.84,4.76,117222.28,-0.4175
20230614,4.77,4.73,4.8,4.73,91413.6,-0.8386
20230615,4.74,4.76,4.79,4.72,129300.56,0.6342
20230616,4.75,4.79,4.86,4.75,109222.0,0.6303
20230619,4.8,4.63,4.82,4.63,189623.57,-3.3403
20230620,4.61,4.51,4.63,4.5,129490.0,-2.5918
20230621,4.5,4.38,4.54,4.38,141246.56,-2.8825
20230626,4.37,4.31,4.38,4.3,109521.71,-1.5982
20230627,4.31,4.47,4.48,4.31,156275.79,3.7123
20230628,4.39,4.35,4.4,4.29,97722.6,-0.6849
20230629,4.34,4.33,4.36,4.3,80642.0,-0.4598
20230630,4.34,4.37,4.44,4.31,89340.0,0.9238
20230703,4.39,4.42,4.46,4.38,103744.08,1.1442
20230704,4.41,4.37,4.42,4.36,76112.57,-1.1312
20230705,4.36,4.37,4.42,4.35,58961.36,0.0
20230706,4.36,4.42,4.44,4.34,96310.92,1.1442
20230707,4.4,4.44,4.46,4.38,86416.12,0.4525
20230710,4.43,4.43,4.48,4.41,74637.0,-0.2252
20230711,4.48,4.42,4.5,4.39,85286.68,-0.2257
20230712,4.42,4.35,4.42,4.33,84276.63,-1.5837
20230713,4.35,4.37,4.39,4.34,71288.23,0.4598
20230714,4.36,4.39,4.43,4.36,78536.61,0.4577
20230717,4.37,4.36,4.38,4.3,81289.85,-0.6834
20230718,4.34,4.41,4.42,4.3,110174.62,1.1468
20230719,4.4,4.45,4.47,4.38,111405.36,0.907
20230720,4.45,4.48,4.54,4.43,146905.01,0.6742
20230721,4.48,4.56,4.59,4.45,214521.22,1.7857
20230724,4.71,4.63,4.8,4.53,445123.55,1.5351
20230725,4.61,4.87,4.88,4.59,659226.49,5.1836
20230726,4.82,4.92,5.15,4.8,893869.19,1.0267
20230727,4.84,4.94,5.08,4.76,713838.6,0.4065
20230728,4.94,4.99,5.05,4.9,465424.76,1.0121
20230731,5.09,5.11,5.21,5.07,611450.9,2.4048
20230801,5.1,5.1,5.18,5.02,410871.19,-0.1957
20230802,5.09,5.17,5.27,5.07,462685.49,1.3725
20230803,5.11,5.25,5.32,5.06,482517.93,1.5474
20230804,5.29,5.19,5.32,5.16,423585.76,-1.1429
20230807,5.11,5.05,5.15,5.01,331697.91,-2.6975
20230808,5.05,4.97,5.11,4.95,203578.0,-1.5842
20230809,4.95,4.97,5.02,4.93,188882.03,0.0
